Entrez ID	Symbol	Type	Entrez.ID
3640	INSL3	best inferred	3640
259266	ASPM	best inferred	259266
2306	FOXD2	best inferred	2306
3638	INSIG1	landmark	3638
4969	OGN	best inferred	4969
2305	FOXM1	best inferred	2305
2304	FOXE1	best inferred	2304
2303	FOXC2	best inferred	2303
2302	FOXJ1	best inferred	2302
3631	INPP4A	best inferred	3631
3632	INPP5A	best inferred	3632
3633	INPP5B	best inferred	3633
2309	FOXO3	landmark	2309
3635	INPP5D	best inferred	3635
2308	FOXO1	best inferred	2308
3636	INPPL1	best inferred	3636
4967	OGDH	best inferred	4967
4968	OGG1	best inferred	4968
4982	TNFRSF11B	best inferred	4982
2317	FLNB	best inferred	2317
2316	FLNA	best inferred	2316
2	A2M	best inferred	2
2315	MLANA	best inferred	2315
2314	FLII	best inferred	2314
2313	FLI1	best inferred	2313
2312	FLG	best inferred	2312
9	NAT1	best inferred	9
3642	INSM1	best inferred	3642
4973	OLR1	best inferred	4973
3643	INSR	best inferred	3643
4974	OMG	best inferred	4974
4976	OPA1	best inferred	4976
3646	EIF3E	best inferred	3646
2319	FLOT2	best inferred	2319
4978	OPCML	best inferred	4978
2318	FLNC	best inferred	2318
3660	IRF2	best inferred	3660
3661	IRF3	best inferred	3661
3662	IRF4	best inferred	3662
1000	CDH2	best inferred	1000
2331	FMOD	best inferred	2331
2330	FMO5	best inferred	2330
2328	FMO3	best inferred	2328
2327	FMO2	best inferred	2327
2326	FMO1	best inferred	2326
2324	FLT4	best inferred	2324
2323	FLT3LG	best inferred	2323
2322	FLT3	best inferred	2322
2321	FLT1	best inferred	2321
3652	IPP	best inferred	3652
3653	IPW	best inferred	3653
3654	IRAK1	best inferred	3654
3655	ITGA6	best inferred	3655
4987	OPRL1	best inferred	4987
3658	IREB2	best inferred	3658
2329	FMO4	best inferred	2329
3659	IRF1	best inferred	3659
3671	ISLR	best inferred	3671
3672	ITGA1	best inferred	3672
3673	ITGA2	best inferred	3673
1008	CDH10	best inferred	1008
2339	FNTA	best inferred	2339
1007	CDH9	best inferred	1007
1006	CDH8	best inferred	1006
1004	CDH6	best inferred	1004
2335	FN1	best inferred	2335
1003	CDH5	best inferred	1003
1002	CDH4	best inferred	1002
1001	CDH3	landmark	1001
2332	FMR1	best inferred	2332
3663	IRF5	best inferred	3663
3664	IRF6	best inferred	3664
3665	IRF7	best inferred	3665
3667	IRS1	best inferred	3667
4998	ORC1	landmark	4998
4999	ORC2	best inferred	4999
3669	ISG20	best inferred	3669
1009	CDH11	best inferred	1009
3680	ITGA9	best inferred	3680
3682	ITGAE	landmark	3682
3683	ITGAL	best inferred	3683
3684	ITGAM	best inferred	3684
1022	CDK7	landmark	1022
2353	FOS	landmark	2353
1021	CDK6	landmark	1021
2352	FOLR3	best inferred	2352
1020	CDK5	best inferred	1020
2350	FOLR2	best inferred	2350
1019	CDK4	landmark	1019
1018	CDK3	best inferred	1018
1017	CDK2	landmark	1017
2348	FOLR1	best inferred	2348
1016	CDH18	best inferred	1016
1014	CDH16	best inferred	1014
1013	CDH15	best inferred	1013
1012	CDH13	best inferred	1012
3675	ITGA3	best inferred	3675
3676	ITGA4	best inferred	3676
3678	ITGA5	best inferred	3678
3679	ITGA7	best inferred	3679
3690	ITGB3	best inferred	3690
3691	ITGB4	best inferred	3691
3692	EIF6	best inferred	3692
3693	ITGB5	landmark	3693
3694	ITGB6	best inferred	3694
3695	ITGB7	best inferred	3695
1033	CDKN3	best inferred	1033
1032	CDKN2D	best inferred	1032
1031	CDKN2C	best inferred	1031
1030	CDKN2B	best inferred	1030
285527	FRYL	best inferred	285527
1029	CDKN2A	landmark	1029
1028	CDKN1C	best inferred	1028
2359	FPR3	best inferred	2359
1027	CDKN1B	landmark	1027
2358	FPR2	best inferred	2358
1026	CDKN1A	landmark	1026
2357	FPR1	best inferred	2357
1025	CDK9	best inferred	1025
2356	FPGS	landmark	2356
1024	CDK8	best inferred	1024
2355	FOSL2	best inferred	2355
2354	FOSB	best inferred	2354
3685	ITGAV	best inferred	3685
3687	ITGAX	best inferred	3687
3688	ITGB1	best inferred	3688
3689	ITGB2	best inferred	3689
728498	GOLGA8H	best inferred	728498
1043	CD52	best inferred	1043
1040	CDS1	best inferred	1040
1039	CDR2	best inferred	1039
1038	CDR1	best inferred	1038
1036	CDO1	best inferred	1036
3696	ITGB8	best inferred	3696
3698	ITIH2	best inferred	3698
3699	ITIH3	best inferred	3699
1054	CEBPG	best inferred	1054
1052	CEBPD	landmark	1052
1051	CEBPB	best inferred	1051
1050	CEBPA	landmark	1050
1047	CLGN	best inferred	1047
1066	CES1	best inferred	1066
2395	FXN	best inferred	2395
1063	CENPF	best inferred	1063
1062	CENPE	landmark	1062
1060	CENPC	best inferred	1060
11108	PRDM4	best inferred	11108
11107	PRDM5	best inferred	11107
1059	CENPB	best inferred	1059
1058	CENPA	best inferred	1058
114112	TXNRD3	best inferred	114112
11100	HNRNPUL1	best inferred	11100
85377	MICALL1	landmark	85377
11102	RPP14	best inferred	11102
11104	KATNA1	best inferred	11104
11103	KRR1	best inferred	11103
1075	CTSC	best inferred	1075
1071	CETP	best inferred	1071
25758	KIAA1549L	best inferred	25758
1070	CETN3	landmark	1070
11119	BTN3A1	best inferred	11119
11118	BTN3A2	best inferred	11118
1069	CETN2	best inferred	1069
11113	CIT	best inferred	11113
85363	TRIM5	best inferred	85363
11117	EMILIN1	best inferred	11117
85360	SYDE1	best inferred	85360
11116	FGFR1OP	best inferred	11116
84061	MAGT1	best inferred	84061
84060	RBM48	best inferred	84060
84065	TMEM222	best inferred	84065
84079	ANKRD27	best inferred	84079
