signature_id	region	input_dataset	source_label	gene_id_type_in_file	top_up_applied	top_down_applied	up_file	down_file	up_file_original	down_file_original
TL_Bulk_microarray_Temporal_entorhinal_bulk	TL	Bulk microarray	Temporal/entorhinal bulk	entrez		150	resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_up.txt	resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_down.txt	Entorhinal_cortex_DEG/temporal_lobe_bulk_up.txt	Entorhinal_cortex_DEG/temporal_lobe_bulk_down.txt
TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847	TL	Bulk RNA-seq	Entorhinal bulk, PMID31063847	entrez			resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_up.txt	resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_down.txt	AD_GEO_data/PMID31063847_Entorhinal_cortex/entorhinal_cortex_bulk_up_PMID_31063847.txt	AD_GEO_data/PMID31063847_Entorhinal_cortex/entorhinal_cortex_bulk_down_PMID_31063847.txt
TL_Neuron_Entorhinal_neuron	TL	Neuron	Entorhinal neuron	symbol	150		resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_up.xlsx	resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_down.xlsx	Entorhinal_cortex_DEG/neuron_up.xlsx	Entorhinal_cortex_DEG/neuron_down.xlsx
TL_Microglia_Entorhinal_microglia	TL	Microglia	Entorhinal microglia	symbol			resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_up.xlsx	resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_down.xlsx	Entorhinal_cortex_DEG/microglia_up.xlsx	Entorhinal_cortex_DEG/microglia_down.xlsx
TL_Endothelial_cell_Entorhinal_endothelial	TL	Endothelial cell	Entorhinal endothelial	symbol			resources/AD_DEG/TL/TL_Endothelial_cell_Entorhinal_endothelial_up.xlsx	resources/AD_DEG/TL/TL_Endothelial_cell_Entorhinal_endothelial_down.xlsx	Entorhinal_cortex_DEG/endothelial_up.xlsx	Entorhinal_cortex_DEG/endothelial_down.xlsx
TL_Astrocyte_Entorhinal_astrocyte	TL	Astrocyte	Entorhinal astrocyte	symbol	150	150	resources/AD_DEG/TL/TL_Astrocyte_Entorhinal_astrocyte_up.xlsx	resources/AD_DEG/TL/TL_Astrocyte_Entorhinal_astrocyte_down.xlsx	Entorhinal_cortex_DEG/astrocyte_up.xlsx	Entorhinal_cortex_DEG/astrocyte_down.xlsx
TL_Oligodendrocyte_Entorhinal_oligodendrocyte	TL	Oligodendrocyte	Entorhinal oligodendrocyte	symbol			resources/AD_DEG/TL/TL_Oligodendrocyte_Entorhinal_oligodendrocyte_up.xlsx	resources/AD_DEG/TL/TL_Oligodendrocyte_Entorhinal_oligodendrocyte_down.xlsx	Entorhinal_cortex_DEG/oligodendrocyte_up.xlsx	Entorhinal_cortex_DEG/oligodendrocyte_down.xlsx
TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC	TL	Oligodendrocyte progenitor cell	Entorhinal OPC	symbol	150		resources/AD_DEG/TL/TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC_up.xlsx	resources/AD_DEG/TL/TL_Oligodendrocyte_progenitor_cell_Entorhinal_OPC_down.xlsx	Entorhinal_cortex_DEG/OPC_up.xlsx	Entorhinal_cortex_DEG/OPC_down.xlsx
FL_Bulk_microarray_Prefrontal_bulk_microarray	FL	Bulk microarray	Prefrontal bulk microarray	symbol	150	150	resources/AD_DEG/FL/FL_Bulk_microarray_Prefrontal_bulk_microarray_up.txt	resources/AD_DEG/FL/FL_Bulk_microarray_Prefrontal_bulk_microarray_down.txt	Prefrontal_cortex_DEG/bulk_microarray_up.txt	Prefrontal_cortex_DEG/bulk_microarray_down.txt
FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq	FL	Bulk RNA-seq	Prefrontal bulk RNA-seq	symbol	150	150	resources/AD_DEG/FL/FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq_up.txt	resources/AD_DEG/FL/FL_Bulk_RNA_seq_Prefrontal_bulk_RNA_seq_down.txt	Prefrontal_cortex_DEG/bulk_rna_seq_up.txt	Prefrontal_cortex_DEG/bulk_rna_seq_down.txt
