file	source	role	note
/ndata/home/khj/R/resources/Cmap_genes.txt	/ndata/home/khj/R/Cmap_genes.txt	LINCS/CMap gene-space file	Original Cmap_genes.txt used for filtering to landmark and best inferred genes
/ndata/home/khj/R/resources/Cmap_genes_L1000_BING.tsv	/ndata/home/khj/R/resources/Cmap_genes.txt	Filtered LINCS/CMap landmark and best inferred gene list	Derived from Cmap_genes.txt by retaining Type in {landmark, best inferred}
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_up.txt	/ndata/home/khj/R/Entorhinal_cortex_DEG/temporal_lobe_bulk_up.txt	AD up-regulated DEG input file	TL_Bulk_microarray_Temporal_entorhinal_bulk; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Bulk_microarray_Temporal_entorhinal_bulk_down.txt	/ndata/home/khj/R/Entorhinal_cortex_DEG/temporal_lobe_bulk_down.txt	AD down-regulated DEG input file	TL_Bulk_microarray_Temporal_entorhinal_bulk; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_up.txt	/ndata/home/khj/R/AD_GEO_data/PMID31063847_Entorhinal_cortex/entorhinal_cortex_bulk_up_PMID_31063847.txt	AD up-regulated DEG input file	TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847_down.txt	/ndata/home/khj/R/AD_GEO_data/PMID31063847_Entorhinal_cortex/entorhinal_cortex_bulk_down_PMID_31063847.txt	AD down-regulated DEG input file	TL_Bulk_RNA_seq_Entorhinal_bulk_PMID31063847; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_up.xlsx	/ndata/home/khj/R/Entorhinal_cortex_DEG/neuron_up.xlsx	AD up-regulated DEG input file	TL_Neuron_Entorhinal_neuron; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Neuron_Entorhinal_neuron_down.xlsx	/ndata/home/khj/R/Entorhinal_cortex_DEG/neuron_down.xlsx	AD down-regulated DEG input file	TL_Neuron_Entorhinal_neuron; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_up.xlsx	/ndata/home/khj/R/Entorhinal_cortex_DEG/microglia_up.xlsx	AD up-regulated DEG input file	TL_Microglia_Entorhinal_microglia; original file copied without modifying gene identifiers
/ndata/home/khj/R/resources/AD_DEG/TL/TL_Microglia_Entorhinal_microglia_down.xlsx	/ndata/home/khj/R/Entorhinal_cortex_DEG/microglia_down.xlsx	AD down-regulated DEG input file	TL_Microglia_Entorhinal_microglia; original file copied without modifying gene identifiers
